ClaimNbr,CarBrandCode,CarModel
CLM011BP-6310-001341,MITSUBISHI,TRITON MEGA CAB
CLM0112M-6302-000718,HONDA,MONKEY
CLM0112M-6302-000722,HONDA,WAVE110i
CLM011BP-6310-001350,TOYOTA,ALTIS
CLM0112M-6302-000736,YAMAHA,NMAX
CLM0112M-6302-000740,YAMAHA,MIO 125I
CLM011BP-6310-001369,ISUZU,DMAX
CLM0112M-6302-000754,HONDA,WAVE125 i
CLM011BP-6310-001378,TOYOTA,SOLUNA
CLM011BP-6310-001387,MITSUBISHI,LANCER GL1.5
CLM0112M-6302-000768,YAMAHA,XMAX
CLM011BP-6310-001396,VOLVO,V70
CLM0112M-6302-000772,HONDA,WAVE125 i
CLM011BP-6310-001409,TOYOTA,HILUX Mighty X -TraCab GL
CLM0112M-6302-000786,HONDA,PCX
CLM0112M-6302-000790,YAMAHA,<= 200CC
CLM011BP-6310-001418,TOYOTA,COROLLA
CLM0112M-6302-000801,YAMAHA,NMAX
CLM011BP-6310-001427,SUZUKI,CARRY
CLM011BP-6310-001436,CHEVROLET,COLORADO C-CAB
CLM0112M-6302-000815,HONDA,WAVE110i
CLM011BP-6310-001445,TOYOTA,YARIS
CLM0112M-6302-000829,YAMAHA,FINO
CLM011BP-6310-001454,HONDA,ACCORD LXI 2.2
CLM0112M-6302-000833,HONDA,CRF250M
CLM011BP-6310-001463,ISUZU,TFR
CLM0112M-6302-000847,HONDA,รถจักรยานยนต์
CLM011BP-6310-001472,ISUZU,DMAX
CLM0112M-6302-000851,YAMAHA,NMAX
CLM011BP-6310-001481,HONDA,ACCORD
CLM0112M-6302-000865,HONDA,PCX150
CLM011BP-6310-001490,HONDA,CIVIC EX/ AT.
CLM0112M-6302-000879,YAMAHA,GRAND FILANO
CLM011BP-6310-001503,TOYOTA,PICKUP
CLM0112M-6302-000883,HONDA,PCX150
CLM011A3-6306-000017,NISSAN,BIG M
CLM011BP-6310-001512,TOYOTA,COROLLA
CLM011A3-6306-000021,TOYOTA,COROLLA
CLM0112M-6302-000897,HONDA,PCX150
CLM011BP-6310-001521,NISSAN,NAVARA
CLM011A3-6306-000035,MITSUBISHI,STRADA 2.8GLX 4x4
CLM011BP-6310-001530,TOYOTA,CAMRY 2.0
CLM0112M-6302-000908,HONDA,PCX
CLM0112M-6302-000912,HONDA,WAVE110i
CLM011A3-6306-000049,ISUZU,FRR 12D
CLM011A3-6306-000053,TOYOTA,COROLLA
CLM011BP-6310-001549,NISSAN,FRONTIER
CLM0112M-6302-000926,YAMAHA,FINO
CLM0112M-6302-000930,YAMAHA,MT03
CLM011BP-6310-001558,TOYOTA,VIGO
CLM011A3-6306-000067,ISUZU,DRAGONPOWER
CLM011A3-6306-000071,TOYOTA,ALTIS
CLM011BP-6310-001567,TOYOTA,YARIS 1.5E A
CLM0112M-6302-000944,HONDA,WAVE125 i
CLM011BP-6310-001576,TOYOTA,VIOS
CLM011A3-6306-000085,TOYOTA,COROLLA
CLM0112M-6302-000958,VESPA,PRIMAVERA 150 3V IE
CLM011BP-6310-001585,MITSUBISHI,TRITON MEGA CAB
CLM0112M-6302-000962,HONDA,CB500XA
CLM011A3-6306-000099,TOYOTA,CAMRY
CLM011A3-6306-000100,ISUZU,FASTER Z
CLM011BP-6310-001594,TOYOTA,REVO
CLM0112M-6302-000976,HONDA,WAVE110i
CLM0112M-6302-000980,YAMAHA,NMAX
CLM011A3-6306-000114,TOYOTA,SOLUNA
CLM011BP-6310-001607,ISUZU,SPACECAB SX 2.5
CLM011BP-6310-001616,MITSUBISHI,MIRAGE
CLM0112M-6302-000994,YAMAHA,XMAX
CLM011A3-6306-000128,MITSUBISHI,FK457
CLM011A3-6306-000132,TOYOTA,WISH
CLM011BP-6310-001625,MAZDA,ASTINA 323
CLM0112M-6302-001007,KAWASAKI,GTO
CLM011BP-6310-001634,TOYOTA,SOLUNA
CLM0112M-6302-001011,HONDA,SCOOPY-I
CLM011A3-6306-000146,TOYOTA,VIGO
CLM011A3-6306-000150,ISUZU,TRUCK
CLM011BP-6310-001643,TOYOTA,MIGHTY X2.5
CLM0112M-6302-001025,HONDA,CLICK125 I
CLM011BP-6310-001652,TOYOTA,SOLUNA
CLM011BP-6310-001661,ISUZU,SPACECAB SL
CLM0112M-6302-001043,YAMAHA,GT125
CLM011A3-6306-000178,HONDA,CIVIC 1.8 E
CLM011BP-6310-001670,MINI,COOPER
CLM011A3-6306-000182,TOYOTA,COROLLA
CLM0112M-6302-001057,HONDA,CLICK125 I
CLM0112M-6302-001061,HONDA,PCX150
CLM011A3-6306-000196,TOYOTA,COROLLA
CLM011BP-6310-001689,TOYOTA,COMMUTER
CLM011BP-6310-001698,FORD,RANGER RAPTOR
CLM011A3-6306-000207,ISUZU,MU-7
CLM0112M-6302-001075,HONDA,WAVE125
CLM011BP-6310-001701,TOYOTA,VIGO
CLM011A3-6306-000211,SUZUKI,CARRY
CLM011BP-6310-001710,ISUZU,MU-X
CLM0112M-6302-001089,HONDA,CB500XA
CLM0112M-6302-001093,YAMAHA,MIO 125I
CLM011A3-6306-000225,ISUZU,DRAGON EYE
CLM0112M-6302-001104,HONDA,CB650F
CLM011BP-6310-001729,ISUZU,DMAX
CLM011A3-6306-000239,TOYOTA,COROLLA
CLM011A3-6306-000243,TOYOTA,TIGER
CLM011BP-6310-001738,TOYOTA,VIGO
CLM0112M-6302-001118,HONDA,CBR150R
CLM0112M-6302-001122,HONDA,#N/A
CLM011BP-6310-001747,ISUZU,DMAX 1.9
CLM011A3-6306-000257,MITSUBISHI,TRITON DOUBLE CAB
CLM011A3-6306-000261,TOYOTA,COROLLA HITORQ 1.6 GXI AT
CLM011BP-6310-001756,TOYOTA,VIGO
CLM0112M-6302-001136,HONDA,PCX
CLM0112M-6302-001140,YAMAHA,NMAX
CLM011BP-6310-001765,ISUZU,DMAX
CLM011A3-6306-000275,TOYOTA,COROLLA
CLM011BP-6310-001774,TOYOTA,SOLUNA
CLM0112M-6302-001154,HONDA,FORZA
CLM011A3-6306-000289,TOYOTA,ALTIS
CLM011BP-6310-001783,TOYOTA,HILUX Tiger2.5ExtraCab GL
CLM011A3-6306-000293,B.M.W.,318i
CLM0112M-6302-001168,HONDA,CLICK125 I
CLM011BP-6310-001792,TOYOTA,ALTIS
CLM0112M-6302-001172,HONDA,> 250CC
CLM011A3-6306-000304,NISSAN,BIG M
CLM011BP-6310-001805,HONDA,CIVIC VTEC/ AT.
CLM011A3-6306-000318,MERCEDES-BENZ,-
CLM0112M-6302-001186,YAMAHA,#N/A
CLM011A3-6306-000322,TOYOTA,VIGO
CLM0112M-6302-001190,HONDA,CLICK-ITune-Up
CLM011BP-6310-001814,TOYOTA,HILUX Tiger2.4 Economy
CLM011BP-6310-001823,MITSUBISHI,STRADA MEGA CAB
CLM0112M-6302-001201,HONDA,WAVE110i
CLM011A3-6306-000336,ISUZU,TRUCK
CLM011A3-6306-000340,TOYOTA,COROLLA
CLM011BP-6310-001832,ISUZU,DMAX
CLM0112M-6302-001215,HONDA,CBR500R
CLM011BP-6310-001841,TOYOTA,CAMRY 2.4
CLM011A3-6306-000354,TOYOTA,CORONA
CLM011BP-6310-001850,TOYOTA,MIGHTY X2.5
CLM0112M-6302-001229,HONDA,WAVE100
CLM0112M-6302-001233,SUZUKI,GD110HU
CLM011A3-6306-000368,TOYOTA,SOLUNA
CLM011A3-6306-000372,ISUZU,NKR 66E
CLM011BP-6310-001869,ISUZU,TFR
CLM0112M-6302-001247,HONDA,CBR150R
CLM0112M-6302-001251,HONDA,PCX
CLM011A3-6306-000386,TOYOTA,PRIUS
CLM011BP-6310-001878,TOYOTA,HIACE
CLM011A3-6306-000390,HINO,-
CLM011BP-6310-001887,HONDA,CIVIC
CLM0112M-6302-001265,HONDA,CLICK
CLM011A3-6306-000401,TOYOTA,COROLLA
CLM011BP-6310-001896,TOYOTA,VIGO
CLM0112M-6302-001279,HONDA,<= 150CC
CLM011A3-6306-000415,TOYOTA,PICKUP
CLM0112M-6302-001283,HONDA,#N/A
CLM011BP-6310-001909,TOYOTA,VIGO
CLM011BP-6310-001918,TOYOTA,VIGO
CLM0112M-6302-001297,YAMAHA,NMAX
